"Setores","Dez./2018","Acumulado Jan./2018 a Dez./2018","Dez./2019","Acumulado Jan./2019 a Dez./2019"
"Agropecuária",4,37,7,25
"Comércio",132,294,13,97
"Construção civil",426,168,449,438
"Indústria",-215,183,389,-281
"Serviços",-171,-163,-46,764
"Total",176,519,812,1043
