"Setores","Dez./2018","Acumulado Jan./2018 a Dez./2018","Dez./2019","Acumulado Jan./2019 a Dez./2019"
"Agropecuária",-88,3,-13,-24
"Comércio",-165,538,-117,748
"Construção civil",-96,8,-83,45
"Indústria",-3754,-2129,-3253,-499
"Serviços",-508,1335,-543,365
"Total",-4611,-245,-4009,635
