"Setores","Dez./2018","Acumulado Jan./2018 a Dez./2018","Dez./2019","Acumulado Jan./2019 a Dez./2019"
"Agropecuária",18,13,0,-107
"Comércio",-7,-431,101,469
"Construção civil",-201,-7,-197,1044
"Indústria",-381,229,-684,-1063
"Serviços",-1499,4252,-1708,2210
"Total",-2070,4056,-2488,2553
