"Setores","Dez./2018","Acumulado Jan./2018 a Dez./2018","Dez./2019","Acumulado Jan./2019 a Dez./2019"
"Agropecuária",-1,91,-24,-125
"Comércio",-2,635,82,300
"Construção civil",-261,-538,-273,-172
"Indústria",-405,159,-318,319
"Serviços",-590,1243,-709,999
"Total",-1259,1590,-1242,1321
