"Setores","Nov./2018","Acumulado Dez./2017 a Nov./2018","Nov./2019","Acumulado Dez./2018 a Nov./2019"
"Agropecuária",10,95,-17,-102
"Comércio",449,807,500,216
"Construção civil",-144,-571,-112,-160
"Indústria",-106,366,-17,232
"Serviços",-81,1091,-249,1118
"Total",128,1788,105,1304
