"Setores","Dez./2018","Acumulado Jan./2018 a Dez./2018","Dez./2019","Acumulado Jan./2019 a Dez./2019"
"Agropecuária",-13942,-8742,-11689,2480
"Comércio",3175,21493,3081,33767
"Construção civil",-7807,-1207,-7862,15206
"Indústria",-36469,-1801,-32235,-10338
"Serviços",-55220,112769,-56604,121524
"Total",-110263,122512,-105309,162639
