"Setores","Nov./2018","Acumulado Dez./2017 a Nov./2018","Nov./2019","Acumulado Dez./2018 a Nov./2019"
"Agropecuária",-10,9,-3,-89
"Comércio",858,-525,1194,361
"Construção civil",65,-95,-129,1040
"Indústria",78,153,-75,-760
"Serviços",66,3366,685,2419
"Total",1057,2908,1672,2971
