"Setores","Dez./2018","Acumulado Jan./2018 a Dez./2018","Dez./2019","Acumulado Jan./2019 a Dez./2019"
"Agropecuária",-33,17,-20,14
"Comércio",137,1805,267,1322
"Construção civil",-341,569,-352,-481
"Indústria",-316,-312,-305,-571
"Serviços",-13,4625,-1243,2536
"Total",-566,6704,-1653,2820
