"Setores","Nov./2018","Acumulado Dez./2017 a Nov./2018","Nov./2019","Acumulado Dez./2018 a Nov./2019"
"Agropecuária",4,-111,44,22
"Comércio",34,274,123,216
"Construção civil",338,54,454,415
"Indústria",123,167,-240,-885
"Serviços",-178,-211,-293,639
"Total",321,173,88,407
