"Setores","Nov./2018","Acumulado Dez./2017 a Nov./2018","Nov./2019","Acumulado Dez./2018 a Nov./2019"
"Agropecuária",61,-35,42,-99
"Comércio",241,546,163,700
"Construção civil",-61,-63,-10,32
"Indústria",-764,-2241,-695,-1000
"Serviços",-45,945,109,400
"Total",-568,-848,-391,33
