"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades de pós-colheita",-3
"2","Agropecuária","Aluguel de máquinas e equipamentos agrícolas sem operador",-1
"3","Agropecuária","Cultivo de café",-1
"4","Agropecuária","Cultivo de cereais",-1
"5","Agropecuária","Produção de sementes certificadas",-1
"6","Comércio","Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",-16
"7","Comércio","Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção",-7
"8","Comércio","Comércio varejista de combustíveis para veículos automotores",-7
"9","Comércio","Comércio varejista especializado de equipamentos e suprimentos de informática",-7
"10","Comércio","Comércio atacadista de carnes, produtos da carne e pescado",-4
"11","Construção civil","Obras de acabamento",-53
"12","Construção civil","Construção de edifícios",-32
"13","Construção civil","Obras de fundações",-11
"14","Construção civil","Obras de terraplenagem",-4
"15","Construção civil","Obras de urbanização - ruas, praças e calçadas",-4
"16","Indústria","Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação",-29
"17","Indústria","Coleta de resíduos não-perigosos",-25
"18","Indústria","Comércio atacadista de energia elétrica",-22
"19","Indústria","Fabricação de produtos alimentícios não especificados anteriormente",-13
"20","Indústria","Fabricação de fios, cabos e condutores elétricos isolados",-10
"21","Serviços","Atividades profissionais, científicas e técnicas não especificadas anteriormente",-47
"22","Serviços","Incorporação de empreendimentos imobiliários",-35
"23","Serviços","Clubes sociais, esportivos e similares",-26
"24","Serviços","Atividades de vigilância e segurança privada",-25
"25","Serviços","Portais, provedores de conteúdo e outros serviços de informação na internet",-23
