"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de laranja",-3852
"2","Agropecuária","Atividades de apoio à agricultura",-3732
"3","Agropecuária","Cultivo de cana-de-açúcar",-2163
"4","Agropecuária","Cultivo de plantas de lavoura temporária não especificadas anteriormente",-429
"5","Agropecuária","Criação de bovinos",-347
"6","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",-733
"7","Comércio","Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo",-446
"8","Comércio","Comércio de peças e acessórios para veículos automotores",-402
"9","Comércio","Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente",-393
"10","Comércio","Comércio atacadista de produtos alimentícios em geral",-379
"11","Construção civil","Construção de edifícios",-3271
"12","Construção civil","Serviços especializados para construção não especificados anteriormente",-999
"13","Construção civil","Obras de acabamento",-874
"14","Construção civil","Construção de rodovias e ferrovias",-687
"15","Construção civil","Construção de obras-de-arte especiais",-622
"16","Indústria","Fabricação de calçados de couro",-2858
"17","Indústria","Fabricação de açúcar em bruto",-2762
"18","Indústria","Confecção de peças do vestuário, exceto roupas íntimas",-2546
"19","Indústria","Serviços de catering, bufê e outros serviços de comida preparada",-2248
"20","Indústria","Fabricação de álcool",-1535
"21","Serviços","Administração pública em geral",-7620
"22","Serviços","Ensino fundamental",-7054
"23","Serviços","Atividades de associações de defesa de direitos sociais",-4381
"24","Serviços","Educação infantil - pré-escola",-4028
"25","Serviços","Educação infantil - creche",-3504
