"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de cana-de-açúcar",-3233
"2","Agropecuária","Atividades de apoio à agricultura",-2545
"3","Agropecuária","Cultivo de plantas de lavoura temporária não especificadas anteriormente",-639
"4","Agropecuária","Cultivo de cereais",-140
"5","Agropecuária","Aluguel de máquinas e equipamentos agrícolas sem operador",-137
"6","Comércio","Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente",-111
"7","Comércio","Comércio varejista de livros, jornais, revistas e papelaria",-105
"8","Comércio","Comércio atacadista de produtos farmacêuticos para uso humano e veterinário",-90
"9","Comércio","Comércio atacadista de ferragens e ferramentas",-87
"10","Comércio","Comércio de peças e acessórios para veículos automotores",-67
"11","Construção civil","Construção de edifícios",-1928
"12","Construção civil","Obras de acabamento",-532
"13","Construção civil","Serviços especializados para construção não especificados anteriormente",-418
"14","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",-383
"15","Construção civil","Construção de rodovias e ferrovias",-289
"16","Indústria","Fabricação de açúcar em bruto",-5974
"17","Indústria","Confecção de peças do vestuário, exceto roupas íntimas",-900
"18","Indústria","Fabricação de calçados de couro",-578
"19","Indústria","Fabricação de peças e acessórios para veículos automotores não especificados anteriormente",-363
"20","Indústria","Fabricação de produtos derivados do cacau, de chocolates e confeitos",-300
"21","Serviços","Administração pública em geral",-571
"22","Serviços","Transporte rodoviário de carga",-565
"23","Serviços","Navegação de apoio",-469
"24","Serviços","Incorporação de empreendimentos imobiliários",-261
"25","Serviços","Manutenção e reparação de veículos automotores",-250
