"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades de apoio à agricultura",-135
"2","Agropecuária","Cultivo de cana-de-açúcar",-46
"3","Agropecuária","Aluguel de máquinas e equipamentos agrícolas sem operador",-35
"4","Agropecuária","Cultivo de plantas de lavoura temporária não especificadas anteriormente",-30
"5","Agropecuária","Cultivo de café",-19
"6","Comércio","Comércio varejista de ferragens, madeira e materiais de construção",-41
"7","Comércio","Comércio atacadista de carnes, produtos da carne e pescado",-30
"8","Comércio","Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",-17
"9","Comércio","Comércio atacadista de resíduos e sucatas",-9
"10","Comércio","Comércio varejista de material elétrico",-9
"11","Construção civil","Obras de acabamento",-45
"12","Construção civil","Obras de urbanização - ruas, praças e calçadas",-13
"13","Construção civil","Obras de fundações",-11
"14","Construção civil","Obras de terraplenagem",-4
"15","Construção civil","Obras de engenharia civil não especificadas anteriormente",-2
"16","Indústria","Fabricação de açúcar em bruto",-571
"17","Indústria","Fabricação de alimentos para animais",-77
"18","Indústria","Confecção de peças do vestuário, exceto roupas íntimas",-44
"19","Indústria","Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação",-29
"20","Indústria","Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",-25
"21","Serviços","Transporte rodoviário de carga",-319
"22","Serviços","Administração pública em geral",-51
"23","Serviços","Atividades profissionais, científicas e técnicas não especificadas anteriormente",-44
"24","Serviços","Atividades de vigilância e segurança privada",-39
"25","Serviços","Incorporação de empreendimentos imobiliários",-35
