"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de plantas de lavoura temporária não especificadas anteriormente",5
"2","Agropecuária","Horticultura",4
"3","Agropecuária","Cultivo de cereais",2
"4","Agropecuária","Criação de aves",1
"5","Agropecuária","Cultivo de algodão herbáceo e de outras fibras de lavoura temporária",1
"6","Comércio","Comércio varejista de artigos do vestuário e acessórios",173
"7","Comércio","Comércio atacadista de hortifrutigranjeiros",52
"8","Comércio","Comércio varejista de calçados e artigos de viagem",40
"9","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",37
"10","Comércio","Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",32
"11","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",30
"12","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",19
"13","Construção civil","Perfurações e sondagens",16
"14","Construção civil","Obras de fundações",5
"15","Construção civil","Obras de instalações em construções não especificadas anteriormente",5
"16","Indústria","Coleta de resíduos não-perigosos",12
"17","Indústria","Serviços de usinagem, solda, tratamento e revestimento em metais",6
"18","Indústria","Fabricação de caminhões e ônibus",5
"19","Indústria","Fabricação de produtos químicos orgânicos não especificados anteriormente",5
"20","Indústria","Serviços de pré-impressão",5
"21","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",138
"22","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",94
"23","Serviços","Desenvolvimento de programas de computador sob encomenda",54
"24","Serviços","Atividades de vigilância e segurança privada",47
"25","Serviços","Atividades auxiliares dos transportes aéreos",44
